,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clhpe868q0018j4nv6tbju3b2
1,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clhpe88er0019j4nvi62bl1v6
2,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clhpe8amn001aj4nv5h5tt9x5
3,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clhpe8cwp001bj4nv4xisxf8w
4,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clhpe8fae001cj4nv9xjrabo8
5,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clhpe8hme001dj4nvifrw349g
6,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clhpe8k01001ej4nvi2jwoo1r
7,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clhpe8md0001fj4nvtp43k2gq
8,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clhpe8oqr001gj4nv3dvb6m2v
9,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clhpe8r3p001hj4nv5a64yqq5
10,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clhpe8ti3001ij4nv94prv023
11,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clhpe8vxb001jj4nvjah4sk1t
12,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clhpe8ybk001kj4nvdhxeaobv
13,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clhpe90pf001lj4nve2btjmyr
