,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,S3_01,[191],ca4uv2cld0g67xoas,clhpefgj8004uj4nv6zppmkxo
1,S3_01,[191],ca4uv2cld0g67xoas,clhpefiqi004vj4nvj7j1jcqk
2,S3_01,[191],ca4uv2cld0g67xoas,clhpefkys004wj4nv88e6yk3a
3,S3_01,[191],ca4uv2cld0g67xoas,clhpefn9x004xj4nvdmg1uh11
4,S3_01,[191],ca4uv2cld0g67xoas,clhpefpiv004yj4nvp2uoj118
5,S3_01,[191],ca4uv2cld0g67xoas,clhpefrsr004zj4nvynlt9wx9
6,S3_01,[191],ca4uv2cld0g67xoas,clhpefubs0050j4nvr5cwx895
7,S3_01,[191],ca4uv2cld0g67xoas,clhpefwwk0051j4nvjxuk44dy
8,S3_01,[191],ca4uv2cld0g67xoas,clhpefzfg0052j4nv27hythb6
9,S3_01,[191],ca4uv2cld0g67xoas,clhpeg1xs0053j4nvjw94rty6
10,S3_01,[191],ca4uv2cld0g67xoas,clhpeg4fp0054j4nvuoxhp1g5
11,S3_01,[191],ca4uv2cld0g67xoas,clhpeg6xo0055j4nvfh522y2k
