,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,S3_01,[191],ca4uv2cld0g67xoas,clmi6d2570055t8nv5d1cji3h
1,S3_01,[191],ca4uv2cld0g67xoas,clmi6d4x20056t8nvm8mtk0yv
2,S3_01,[191],ca4uv2cld0g67xoas,clmi6d7rg0057t8nvpogobo16
3,S3_01,[191],ca4uv2cld0g67xoas,clmi6dama0058t8nvb45tdtsr
4,S3_01,[191],ca4uv2cld0g67xoas,clmi6ddfm0059t8nvbri9mpt9
5,S3_01,[191],ca4uv2cld0g67xoas,clmi6dg8s005at8nv2md2b3sa
6,S3_01,[191],ca4uv2cld0g67xoas,clmi6dj1j005bt8nvt4q7injg
7,S3_01,[191],ca4uv2cld0g67xoas,clmi6dlxv005ct8nvuh40z5dp
8,S3_01,[191],ca4uv2cld0g67xoas,clmi6doq6005dt8nv70sn0td6
9,S3_01,[191],ca4uv2cld0g67xoas,clmi6drl4005et8nvj12ep1xz
10,S3_01,[191],ca4uv2cld0g67xoas,clmi6duie005ft8nv2zpf9b5p
