,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,AT1_01,[159],cdwy3u9ld0h9xwqp1,clf7bf8v80000a8npjqi2h087
1,AT1_01,[159],cdwy3u9ld0h9xwqp1,clf7bfbj80001a8np8vj2dgwv
2,AT1_01,[159],cdwy3u9ld0h9xwqp1,clf7bfetm0002a8npwp3w7fw9
3,AT1_01,[159],cdwy3u9ld0h9xwqp1,clf7bfieq0003a8npwacxrl9r
4,AT1_01,[159],cdwy3u9ld0h9xwqp1,clf7bflng0004a8npyuvw9mvr
5,AT1_01,[159],cdwy3u9ld0h9xwqp1,clf7bfowj0005a8nppqb9gmnk
6,AT1_01,[159],cdwy3u9ld0h9xwqp1,clf7bfs600006a8npsanwmghv
7,AT1_01,[159],cdwy3u9ld0h9xwqp1,clf7bfvgi0007a8npa4iog9ec
8,AT1_01,[159],cdwy3u9ld0h9xwqp1,clf7bfyos0008a8np5xgu6pb3
9,AT1_01,[159],cdwy3u9ld0h9xwqp1,clf7bg1wz0009a8npbjvqbwmx
10,AT1_01,[159],cdwy3u9ld0h9xwqp1,clf7bg559000aa8npfqcr2rov
