,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clf7bi4q70014a8np53i9o6yw
1,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clf7bi8c30015a8npr4zpefve
2,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clf7bic4i0016a8npxhbuq9xd
3,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clf7bifqk0017a8npqa0dcz30
4,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clf7bij820018a8npkp625e7o
5,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clf7bimfo0019a8npzkxwfcb2
6,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clf7bipm3001aa8npxb0ja8dn
7,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clf7bisvu001ba8npxzz924tu
8,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clf7biw9n001ca8npsnu0kb9l
9,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clf7bizi4001da8npqun4iqa9
10,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clf7bj2pe001ea8np1bla1nro
11,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clf7bj6r0001fa8npcnzg7uk5
