,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,S3_01,[191],ca4uv2cld0g67xoas,cllbdkxkw004w0cnvddu2nb75
1,S3_01,[191],ca4uv2cld0g67xoas,cllbdl00t004x0cnvqskf9p07
2,S3_01,[191],ca4uv2cld0g67xoas,cllbdl2l7004y0cnvlq39wc4h
3,S3_01,[191],ca4uv2cld0g67xoas,cllbdl56d004z0cnvnno476zl
4,S3_01,[191],ca4uv2cld0g67xoas,cllbdl7r000500cnv3wwrigc6
5,S3_01,[191],ca4uv2cld0g67xoas,cllbdlacn00510cnvnqbacdai
6,S3_01,[191],ca4uv2cld0g67xoas,cllbdlczn00520cnvz0n71h9t
7,S3_01,[191],ca4uv2cld0g67xoas,cllbdlfoi00530cnvry16wq9y
8,S3_01,[191],ca4uv2cld0g67xoas,cllbdli8700540cnvrin4uqlu
9,S3_01,[191],ca4uv2cld0g67xoas,cllbdlku700550cnvqrha6ra5
10,S3_01,[191],ca4uv2cld0g67xoas,cllbdlnla00560cnvdop5hpqv
11,S3_01,[191],ca4uv2cld0g67xoas,cllbdlq9o00570cnvpycl9cxy
12,S3_01,[191],ca4uv2cld0g67xoas,cllbdlt0700580cnvl4akqno7
