,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliueekzb001tysnv58w53sl6
1,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliueeo8v001uysnvz0d087nh
2,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliueerji001vysnvoaislux8
3,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliueeuqv001wysnvm1n7d8fv
4,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliueexxx001xysnv46akyp6q
5,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliuef1jb001yysnvrol6sxpa
6,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliuef52b001zysnv35mzmkfq
7,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliuef8ms0020ysnvw2nqgfml
8,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliuefc590021ysnv0b40bma2
9,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliueffko0022ysnv5a2cte06
10,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliuefj5w0023ysnvwxwe70t8
11,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliuefmoo0024ysnvu5g21kep
12,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliuefq620025ysnvc6c3kjra
13,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliueftr90026ysnvw23r180g
14,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliuefxbg0027ysnvmt5nimko
15,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliueg1gk0028ysnv6g2dnteb
16,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,cliueg56q0029ysnv42nlwwrz
