,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,AT1_01,[159],cdwy3u9ld0h9xwqp1,cloyh7rpy0000aonvublwdob2
1,AT1_01,[159],cdwy3u9ld0h9xwqp1,cloyh7ufy0001aonvdt5tcrog
2,AT1_01,[159],cdwy3u9ld0h9xwqp1,cloyh7x830002aonvkbyx5af3
3,AT1_01,[159],cdwy3u9ld0h9xwqp1,cloyh7zy40003aonvrt0g5v9v
4,AT1_01,[159],cdwy3u9ld0h9xwqp1,cloyh82yr0004aonvdmy2gs2o
5,AT1_01,[159],cdwy3u9ld0h9xwqp1,cloyh867r0005aonv8ubcstul
6,AT1_01,[159],cdwy3u9ld0h9xwqp1,cloyh899i0006aonvpgzkir6k
7,AT1_01,[159],cdwy3u9ld0h9xwqp1,cloyh8c7u0007aonvyhvtkbt9
8,AT1_01,[159],cdwy3u9ld0h9xwqp1,cloyh8fol0008aonv6qduqpd9
9,AT1_01,[159],cdwy3u9ld0h9xwqp1,cloyh8jc10009aonv220s7znz
