,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt74i36001oz4nvyt0ywtxj
1,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt74l6m001pz4nv2u2byfee
2,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt74nrt001qz4nvpn3y7usl
3,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt74px6001rz4nvlkchw06f
4,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt74s56001sz4nvfi5n4spc
5,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt74ude001tz4nv0t5ww75m
6,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt74wm2001uz4nvn2mkazyd
7,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt74ywt001vz4nvlxniv3zh
8,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt751bd001wz4nv3z6bp3ws
9,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt753oj001xz4nvee74k0rx
10,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt7560m001yz4nvw6khy0hu
11,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt758d3001zz4nvw2btgwxf
12,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt75art0020z4nv15fe9s4u
13,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt75d760021z4nv7lnlgimc
14,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt75fkq0022z4nv1phvifev
15,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt75hx00023z4nv7p0q9wzo
16,IN4_01,[295 297 298],crv0pf8ld0bq71g2g,clnt75k9f0024z4nvso3y12gr
