,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,AT1_01,[67],cgrklmakym3h7n64,cl7z96h3b002s4knmrsx21vr6
1,AT1_01,[67],cgrklmakym3h7n64,cl7z96izw002t4knmdihjrpab
2,AT1_01,[67],cgrklmakym3h7n64,cl7z96kh0002u4knmb43hw01u
3,AT1_01,[67],cgrklmakym3h7n64,cl7z96lxc002v4knm0rxi8l7m
4,AT1_01,[67],cgrklmakym3h7n64,cl7z96nic002w4knmoz0f235w
5,AT1_01,[67],cgrklmakym3h7n64,cl7z96p39002x4knmu1icf5s0
6,AT1_01,[67],cgrklmakym3h7n64,cl7z96qk9002y4knm48mygyuy
7,AT1_01,[67],cgrklmakym3h7n64,cl7z96s0y002z4knmzoycrh5z
8,AT1_01,[67],cgrklmakym3h7n64,cl7z96tn300304knmshn4gv72
9,AT1_01,[67],cgrklmakym3h7n64,cl7z96v2p00314knmpy6obsel
10,AT1_01,[67],cgrklmakym3h7n64,cl7z96wit00324knmp4bgtxki
