,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl7z95zqj002i4knm2js217qr
1,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl7z96196002j4knmd49c9mo8
2,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl7z962re002k4knm1fz6rf2m
3,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl7z9647n002l4knmjh69g7m2
4,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl7z965nv002m4knm8rjxjcvs
5,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl7z9674d002n4knmomyeizmw
6,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl7z968jc002o4knmiwoq56o3
7,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl7z969yn002p4knmlkhlfvio
8,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl7z96bfe002q4knmz5ecu0rb
9,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl7z96cwf002r4knmov1apaw4
