,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,PR6_01,[38 39],c1ajh01kyszt0c88,cl7z936x4000d4knmfw6jitkw
1,PR6_01,[38 39],c1ajh01kyszt0c88,cl7z9378n000e4knmtutzppse
2,PR6_01,[38 39],c1ajh01kyszt0c88,cl7z937p3000f4knmbjpdbk8w
3,PR6_01,[38 39],c1ajh01kyszt0c88,cl7z9381x000g4knmbx0r50pv
4,PR6_01,[38 39],c1ajh01kyszt0c88,cl7z938dx000h4knmimnj0p7i
5,PR6_01,[38 39],c1ajh01kyszt0c88,cl7z938tt000i4knmv1rwlrwk
6,PR6_01,[38 39],c1ajh01kyszt0c88,cl7z9395z000j4knmt0weep5r
7,PR6_01,[38 39],c1ajh01kyszt0c88,cl7z939j4000k4knmliywhd9e
8,PR6_01,[38 39],c1ajh01kyszt0c88,cl7z939vn000l4knmhy30jyr0
9,PR6_01,[38 39],c1ajh01kyszt0c88,cl7z93a85000m4knm7zpfok3u
10,PR6_01,[38 39],c1ajh01kyszt0c88,cl7z93al2000n4knm7u15b7r6
11,PR6_01,[38 39],c1ajh01kyszt0c88,cl7z93ayb000o4knm1vuh2xks
12,PR6_01,[38 39],c1ajh01kyszt0c88,cl7z93ba2000p4knmip9yhgk0
