,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,CBI2_01,[90 83],csdtthikyov11so4,cl6v1lufn0000gcnm2le4rfth
1,CBI2_01,[90 83],csdtthikyov11so4,cl6v1lvgg0001gcnmejny6egp
2,CBI2_01,[90 83],csdtthikyov11so4,cl6v1lwh00002gcnm5no4z4dv
3,CBI2_01,[90 83],csdtthikyov11so4,cl6v1lxs10003gcnmbznuhmc5
4,CBI2_01,[90 83],csdtthikyov11so4,cl6v1lyyj0004gcnmgfvxyf1a
5,CBI2_01,[90 83],csdtthikyov11so4,cl6v1m0f30005gcnm49pgj6bm
6,CBI2_01,[90 83],csdtthikyov11so4,cl6v1m1fk0006gcnmeowa55yd
7,CBI2_01,[90 83],csdtthikyov11so4,cl6v1m2gb0007gcnmhurpf9vm
8,CBI2_01,[90 83],csdtthikyov11so4,cl6v1m3ho0008gcnm0tzjkcde
9,CBI2_01,[90 83],csdtthikyov11so4,cl6v1m4g90009gcnmyh3lcb19
10,CBI2_01,[90 83],csdtthikyov11so4,cl6v1m5l8000agcnmpw63ke8n
11,CBI2_01,[90 83],csdtthikyov11so4,cl6v1m6i4000bgcnmdbp2kh0s
