,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,AT1_01,[67],crphtmrl4q3ommxd0,cl5mo27ns004b7wnmhzx51gie
1,AT1_01,[67],crphtmrl4q3ommxd0,cl5mo29r7004c7wnmw84cxwxl
2,AT1_01,[67],crphtmrl4q3ommxd0,cl5mo2bz6004d7wnm0gs9gvev
3,AT1_01,[67],crphtmrl4q3ommxd0,cl5mo2ei2004e7wnmbelc2mgz
4,AT1_01,[67],crphtmrl4q3ommxd0,cl5mo2gwf004f7wnmx9ibxcsl
5,AT1_01,[67],crphtmrl4q3ommxd0,cl5mo2jaq004g7wnm3edkr7lf
6,AT1_01,[67],crphtmrl4q3ommxd0,cl5mo2lft004h7wnm3k8tijy8
7,AT1_01,[67],crphtmrl4q3ommxd0,cl5mo2nhe004i7wnm6y5lq923
8,AT1_01,[67],crphtmrl4q3ommxd0,cl5mo2pmk004j7wnm6t1ebwtz
9,AT1_01,[67],crphtmrl4q3ommxd0,cl5mo2ruj004k7wnmjgvh7j0u
10,AT1_01,[67],crphtmrl4q3ommxd0,cl5mo2u5c004l7wnm9n5nwt3i
