,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,IN4_01,[65],c4d8wbzkyngr50t3,cl5q9efi2007k90nmmant2l67
1,IN4_01,[65],c4d8wbzkyngr50t3,cl5q9ehj7007l90nm0liqg7tb
2,IN4_01,[65],c4d8wbzkyngr50t3,cl5q9ek1h007m90nm7p9p1r0w
3,IN4_01,[65],c4d8wbzkyngr50t3,cl5q9em5u007n90nm91qazvc9
4,IN4_01,[65],c4d8wbzkyngr50t3,cl5q9eq8e007o90nm3wbg1ja3
5,IN4_01,[65],c4d8wbzkyngr50t3,cl5q9esga007p90nmls0wr80s
6,IN4_01,[65],c4d8wbzkyngr50t3,cl5q9euk7007q90nmyor6sxgd
7,IN4_01,[65],c4d8wbzkyngr50t3,cl5q9ewie007r90nmdyh3pdep
8,IN4_01,[65],c4d8wbzkyngr50t3,cl5q9eyce007s90nmhe42n6p0
9,IN4_01,[65],c4d8wbzkyngr50t3,cl5q9f02t007t90nmkynzvfds
10,IN4_01,[65],c4d8wbzkyngr50t3,cl5q9f26m007u90nmuerawdpk
11,IN4_01,[65],c4d8wbzkyngr50t3,cl5q9f41u007v90nm4oe4xulo
12,IN4_01,[65],c4d8wbzkyngr50t3,cl5q9f62u007w90nmovk6wbqg
13,IN4_01,[65],c4d8wbzkyngr50t3,cl5q9f7z9007x90nm34r16dip
