,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,PR3_01,[81 82],cxsom3tl4q3ommxdi,cl5mnwug000127wnm5m15k5o5
1,PR3_01,[81 82],cxsom3tl4q3ommxdi,cl5mnwwnf00137wnms0upxus6
2,PR3_01,[81 82],cxsom3tl4q3ommxdi,cl5mnwywf00147wnmo2jfxub3
3,PR3_01,[81 82],cxsom3tl4q3ommxdi,cl5mnx14v00157wnmkqvt5vea
4,PR3_01,[81 82],cxsom3tl4q3ommxdi,cl5mnx3ih00167wnmdf094j0j
5,PR3_01,[81 82],cxsom3tl4q3ommxdi,cl5mnx5vf00177wnm8j65q4a5
6,PR3_01,[81 82],cxsom3tl4q3ommxdi,cl5mnx85j00187wnm0ki4tqw2
7,PR3_01,[81 82],cxsom3tl4q3ommxdi,cl5mnxad800197wnmvqtdbuk3
8,PR3_01,[81 82],cxsom3tl4q3ommxdi,cl5mnxck1001a7wnmc8k9xk42
9,PR3_01,[81 82],cxsom3tl4q3ommxdi,cl5mnxexv001b7wnmakir6lez
10,PR3_01,[81 82],cxsom3tl4q3ommxdi,cl5mnxhnr001c7wnm4dzdptow
11,PR3_01,[81 82],cxsom3tl4q3ommxdi,cl5mnxk0j001d7wnmf4hjar7k
