,indicadorIA,indicatorIdsOsmosys,formId,recordId
0,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl9773lzj002cycnmp9q54xum
1,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl9773nfx002dycnm96ghwp9t
2,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl9773owg002eycnmqygbkzri
3,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl9773qba002fycnmhhuorxlh
4,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl9773rq8002gycnmi512c53f
5,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl9773t5z002hycnmmro5k1tk
6,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl9773uku002iycnmq3fs1i6w
7,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl9773vzu002jycnmdjsdyizn
8,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl9773xee002kycnm6ib4bccr
9,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl9773yu8002lycnm6fn8tl18
10,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl977409s002mycnmfriszio6
11,IN5_01,"[52, 63, 66]",c4d8wbzkyngr50t3,cl97741py002nycnmpueic14h
